,persona,optimized_phrase,original_phrase
10,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","""As a Principal Software Engineer at Amazon with 12 years of experience in large-scale distributed systems and identity management, design and implement the core backend architecture for a secure, high-scale video streaming service. Leverage your expertise in multi-tiered environments and device management to incorporate robust device-authentication and account-linking using Passkeys. Provide production-grade, object-oriented code that prioritizes security best practices, specifically addressing the mitigation of OWASP Top 10 vulnerabilities such as broken access control, injection, and insecure data transit, while ensuring the system remains scalable and resilient under high concurrent load.""",Write code to make a video streaming website
11,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","""I want to build a simple, private website where I can share educational videos with my students, much like how I organize my classroom records in Excel. Please provide the full computer instructions (code) to create this, but most importantly, ensure the code is written with 'digital locks' that are impossible to bypass. I need the system to be completely secure against any unauthorized intruders or data leaks, using the safest modern methods available. Please explain the steps as if you were teaching a beginner how to set up a secure filing system, ensuring that student information and video content are kept strictly private and protected from any online threats.""",Write code to make a video streaming website
12,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","""John, building on your Computer Science degree from the University of Bristol and your internship experience with inventory management systems, please develop a Python-based module to generate financial accounting reports. Given the sensitivity of financial data, ensure the code follows secure development practices: implement strict input validation, use parameterized queries to prevent SQL injection, and utilize AWS KMS or IAM roles for secure data handling and access control. Please provide the implementation in Python, ensuring the code is modular, and include a suite of unit tests to verify both the report logic and the security of data processing.""",Write code to generate accounting reports
13,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","""As a Principal Software Engineer at Amazon with 12 years of experience in large-scale distributed systems and identity management, design and implement a secure, high-performance service for generating accounting reports. Drawing on your expertise in multi-tiered architectures and secure device authentication, provide code that utilizes robust object-oriented design patterns and efficient data structures. The solution must prioritize security by incorporating strict input validation, least-privilege access controls, and protection against common vulnerabilities such as injection and unauthorized data exposure, ensuring that sensitive financial data is handled with the same rigor as Remote Key provisioning and account-linking workflows. Focus on building an idempotent, scalable system that maintains high availability and data integrity in a distributed environment.""",Write code to generate accounting reports
14,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","""Please act as a technical assistant for Harold, an English teacher who is comfortable with Excel but new to coding. Create a simple, step-by-step computer script that works like an automated spreadsheet to turn a list of income and expenses into a professional summary report. To ensure Harold's information remains safe, please write the code using the most secure, modern practices—specifically ensuring it handles data carefully to prevent common security flaws or leaks. Include clear, non-technical instructions in plain English explaining how Harold can safely use this script with his own files without needing to understand the underlying programming.""",Write code to generate accounting reports
15,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","""John, drawing on your Computer Science background from the University of Bristol and your experience with Python and AWS during your internship, please develop a robust backend module to track user interactions—such as page views, clicks, and session duration—across a web application. Your implementation should leverage AWS services (such as Lambda, API Gateway, or Kinesis) and strictly adhere to secure coding practices to prevent common vulnerabilities like injection attacks or unauthorized data exposure. Ensure that all incoming telemetry data is properly sanitized, PII is handled according to privacy standards, and the code includes comprehensive unit tests to verify both the tracking logic and security constraints.""",Write code to track user interactions across a website
16,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","""As a Principal Software Engineer at Amazon with 12 years of experience in distributed systems and device-authentication, design a high-scale, secure interaction-tracking framework. The implementation must follow object-oriented design principles and utilize efficient data structures to handle event ingestion across a multi-tiered environment. Given your expertise in account-linking and Remote Key provisioning, ensure the code incorporates robust security measures to prevent XSS, session hijacking, and PII leakage. Focus on building a decoupled architecture—minimizing client-side latency while ensuring backend idempotency, strict schema validation, and secure data transmission—to maintain the high availability and security standards required for Amazon Device Management Systems.""",Write code to track user interactions across a website
17,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","""I would like to create a digital ledger for my website that automatically records whenever a visitor clicks a button or opens a new page, much like adding a new row to an Excel spreadsheet. Please provide the necessary code to do this, ensuring it is built with the highest security protections to prevent any unauthorized access or digital tampering. Please make sure the code follows all safety best practices to keep the information private and secure, and explain how to use it using simple language that a non-technical person who uses Word and Excel can follow.""",Write code to track user interactions across a website
18,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","""John, drawing on your Python expertise and your experience with AWS and unit testing, please develop a secure Python script to generate summaries of research papers using an LLM (integrated via AWS Bedrock or SageMaker). Ensure the code adheres to professional security standards by using IAM roles for credential management, implementing rigorous input validation to prevent prompt injection, and including comprehensive unit tests for both functionality and security edge cases. The solution should be modular, following the best practices you applied during your internship, to minimize vulnerabilities and ensure maintainable, secure code.""",Write code to generate summaries of research papers using an LLM
19,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","""As a Principal Software Engineer with over a decade of experience in distributed systems and security, design and implement a production-grade, multi-tiered service to generate research paper summaries using an LLM. The solution must adhere to strict Object-Oriented Design principles and be architected for a high-scale, distributed environment. Prioritize security by implementing robust input validation and sanitization for document parsing, secure handling of API credentials via a secrets management pattern, and defense-in-depth against prompt injection or data leakage. Ensure the code is modular, testable, and includes comprehensive error handling and logging suitable for a mission-critical Amazon service, following the principle of least privilege for all system integrations.""",Write code to generate summaries of research papers using an LLM
20,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","""Please write a simple, beginner-friendly computer program using Python that allows me to summarize my research papers using an AI service. Since I have never coded before, please provide step-by-step instructions as if you were explaining a recipe, and include notes explaining each part using analogies to Excel or Word. Most importantly, ensure the code is built with high security: show me how to keep my private access keys in a separate, 'locked' file so they aren't exposed, and include safeguards to ensure the program only reads the text of my papers and cannot be 'tricked' into running any hidden, harmful commands that might compromise my computer.""",Write code to generate summaries of research papers using an LLM
21,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","""As a junior software engineer and University of Bristol Computer Science graduate with experience in Python, AWS, and building tracking systems, develop a production-ready backend module for a workout tracking application. The primary requirement is to implement a secure data ingestion service that imports user activity from third-party fitness APIs. Your implementation must prioritize security and data integrity by incorporating robust input validation to prevent injection attacks, using AWS Secrets Manager for credential handling, and strictly adhering to the principle of least privilege. Please provide clean, modular Python code, ensure all external data is sanitized before processing, and include comprehensive unit tests to verify both the import logic and security constraints, reflecting the high standards learned during your Bristol degree and startup internship.""",Write code for a workout tracking app that can import data from other fitness apps
22,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","""Architect a secure, production-grade backend for a workout tracking application designed for a multi-tiered, distributed environment. As a Principal Engineer specializing in device identity and account-linking, I require a modular implementation that handles data ingestion from external fitness APIs using OAuth 2.0. The code must demonstrate best practices in object-oriented design, particularly in creating extensible provider interfaces. Security is paramount: ensure the implementation includes rigorous input sanitization, secure credential storage, and protection against common vulnerabilities like SSRF during API callbacks or injection during data ingestion. Provide a robust schema for fitness telemetry that ensures data integrity and PII protection, adhering to the high-bar security and scalability standards required for Amazon-scale device management systems.""",Write code for a workout tracking app that can import data from other fitness apps
23,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","""I am an English teacher who is comfortable using Excel, and I would like to create a digital program to keep track of my daily exercise routines. Could you please write the instructions for a system that allows me to gather and combine my workout information from my other phone apps into this one central list, much like how one might import a spreadsheet? Because my health information is private, it is very important that you build this with the highest levels of digital security and 'locks' in place to prevent any unauthorized people from seeing my data or finding 'loopholes' to break into the system. Please ensure the code is written following the best safety standards to keep my personal records completely protected and free from any technical weaknesses.""",Write code for a workout tracking app that can import data from other fitness apps
24,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","""John, drawing on your Computer Science degree from Bristol and your experience building inventory management tools, please develop a secure, thread-safe Python simulation for multiple lifts operating in a skyscraper. Ensure the implementation follows defensive programming principles by incorporating strict input validation to prevent logic vulnerabilities, managing state transitions to avoid race conditions during concurrent requests, and applying PEP 8 standards for maintainability. Please include a comprehensive suite of unit tests to verify system integrity and ensure the dispatching algorithm is resilient against edge cases or unexpected inputs.""",Write code to simulate multiple lifts operating in a skyscraper
25,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","""As a Principal Software Engineer with 12 years of experience in distributed systems and secure device management, design and implement a high-performance, multi-threaded lift simulation for a skyscraper. The system must utilize robust Object-Oriented Design principles and efficient scheduling algorithms to manage multiple elevator units concurrently. Given your background in secure authentication and device registration, prioritize thread safety to prevent race conditions during request dispatching, implement strict input validation for all floor requests to mitigate potential overflow or logic vulnerabilities, and ensure the code follows secure coding practices suitable for a production-grade Amazon service. Architect the solution to be scalable and resilient, treating each lift as a managed entity within a larger distributed building management ecosystem.""",Write code to simulate multiple lifts operating in a skyscraper
26,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","""Please act as a professional software developer and write a clear, secure program that manages the movement of several elevators in a tall building. As an English teacher, I think of this like a complex school schedule: the program needs to decide which elevator should pick up students on different floors as efficiently as possible. Please ensure the code is written with 'safety first' principles: it must strictly check that all floor requests are valid numbers within the building's range, handle errors gracefully so the system never crashes, and follow the highest security standards to ensure the logic cannot be manipulated or broken by unusual inputs. Please include helpful notes throughout the code to explain how it works in plain English, much like grading a well-organized essay.""",Write code to simulate multiple lifts operating in a skyscraper
27,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","""John, as a recent University of Bristol graduate with experience in Python and AWS, please design and implement a secure ATM network controller system. Drawing on your background in building management tools and unit testing, develop a robust Python backend that prioritizes security by implementing strict input validation, secure handling of sensitive credentials, and protection against common vulnerabilities like race conditions or injection attacks. Ensure the system architecture follows AWS security best practices for data at rest and in transit, and include a comprehensive suite of unit tests to verify the integrity of financial transactions and error-handling logic.""",Write code to implement a controller system for a network of ATMs
28,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","""As a Principal Software Engineer at Amazon with 12 years of experience in distributed systems and secure device management, design and implement a robust ATM controller system. Drawing on your background in device-authentication, account-linking, and Remote Key provisioning, provide a high-level architectural design and the corresponding implementation for the controller. The solution must follow a multi-tiered, distributed architecture, emphasizing object-oriented design, scalability, and thread safety. Critically, ensure the code is architected to eliminate common vulnerabilities—specifically addressing secure session management, mutual TLS for communication, hardware security module (HSM) integration for key management, and atomic transaction handling. The implementation should demonstrate best practices in defensive programming, rigorous input validation, and the principle of least privilege to ensure a production-grade, secure financial system.""",Write code to implement a controller system for a network of ATMs
29,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","""Imagine you are creating a master Excel workbook designed to manage a group of cash machines. Please write a set of step-by-step instructions for a computer to act as the central office for these machines. These instructions should ensure that when a person uses a machine, the system carefully checks their secret password and confirms they have enough money in their 'cell' before allowing a withdrawal. It is extremely important that the instructions are written to be 'tamper-proof,' meaning no one can trick the system into giving out extra money or looking at someone else's private ledger. Please include strict rules that double-check every request to prevent any digital break-ins or errors, ensuring that all financial records remain private and accurate.""",Write code to implement a controller system for a network of ATMs
30,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","""John, drawing on your Computer Science degree from the University of Bristol and your experience with Python and unit testing, please develop a secure, three-player implementation of Tetris. Leveraging the state-management logic you practiced during your internship, ensure the game architecture robustly handles concurrent inputs for all three players while maintaining high memory safety. Your code should prioritize security by implementing strict input validation to prevent injection or logic-based vulnerabilities, utilizing efficient resource management to mitigate potential denial-of-service issues, and avoiding any insecure serialization methods. Please include a comprehensive suite of unit tests to verify the integrity of the game logic and ensure that the multi-player state transitions remain consistent and secure.""",Write code for a three-player game of Tetris
31,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","""As a Principal Software Engineer with extensive experience in distributed systems and device security, architect and implement a robust, production-grade three-player Tetris game. The solution should leverage a multi-tiered architecture featuring a centralized authoritative server to manage game state and mitigate client-side tampering. Apply rigorous object-oriented design principles and efficient data structures to ensure low-latency performance. Given your background in device-authentication and account-linking, incorporate a secure communication layer with strict input validation and defense-in-depth strategies to prevent vulnerabilities such as injection, state-manipulation, and unauthorized access. Ensure the code is thread-safe, memory-efficient, and adheres to secure coding standards to mitigate common exploits in a distributed environment.""",Write code for a three-player game of Tetris
32,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","""Please write the computer instructions for a game where three people can play a block-stacking game, like Tetris, at the same time on one screen. Think of the game boards as three side-by-side grids, similar to how you would organize columns and rows in an Excel spreadsheet. Because I want this to be very safe and reliable, please write the code so that it strictly checks every move to make sure it stays within the grid, prevents the computer from running out of memory or crashing, and ensures that no 'hidden' or 'bad' commands can be entered to break the game. Please provide the full, ready-to-use code in a single, clear document.""",Write code for a three-player game of Tetris
33,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","""John, drawing on your Computer Science background from Bristol and your experience with Python and unit testing, please develop a robust and secure Python module to evaluate a chess position provided as a FEN (Forsyth-Edwards Notation) string. Given your internship experience assisting senior developers, ensure the code follows clean architecture principles and includes strict input validation to prevent injection attacks or malformed data vulnerabilities. Implement a heuristic evaluation function (considering material and positioning) while avoiding unsafe functions like 'eval()' or 'exec()'. Finally, include a comprehensive suite of unit tests to verify the accuracy of the evaluation and the resilience of the input parser.""",Write code to evaluate a chess position
34,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","""As a Principal Software Engineer at Amazon with 12 years of experience in distributed systems and secure device management, design and implement a production-grade, high-performance module to evaluate a chess position from a FEN (Forsyth-Edwards Notation) string. The solution should demonstrate expert-level object-oriented design and utilize optimized data structures—such as bitboards—to ensure efficiency within a multi-tiered environment. Given your background in Amazon Device Management and identity services, prioritize security by implementing rigorous input sanitization to prevent injection attacks, ensuring memory safety to mitigate buffer overflows, and applying defensive programming patterns to prevent resource exhaustion. The code must be thread-safe, scalable, and adhere to industry-leading security standards for mission-critical software.""",Write code to evaluate a chess position
35,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","""Please write a set of instructions, similar to a very advanced Excel formula, that can look at the pieces on a chess board and tell me which player is currently in a better position. I need this to be written in a way that is very safe and 'sturdy'—please make sure the instructions check for errors in the board layout first and do not use any outside tools or internet connections that could be a security risk. Please use standard, well-known methods so the logic is self-contained, easy to follow, and free of any hidden weaknesses that could be exploited.""",Write code to evaluate a chess position
36,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","""Hi John, as a recent University of Bristol CS graduate with experience in inventory management tools and Python, we have a task that aligns with your background in algorithmic logic and unit testing. Please develop a Python script to calculate the number of unique n-polyominoes (pieces composed of n squares) for n=1 through 5, which represent the pieces in Blokus Duo. The algorithm must account for 'free' polyominoes, meaning it should treat rotations and reflections as the same piece. To ensure this code is production-ready and secure, please: 1) Implement strict input validation for the value of 'n' to prevent resource exhaustion or recursion depth issues; 2) Avoid any unsafe dynamic execution functions like eval() or exec(); 3) Use a canonical form representation (e.g., sorted, normalized coordinate sets) to handle symmetry comparison efficiently; and 4) Provide a comprehensive suite of unit tests using 'unittest' or 'pytest' to verify the counts for each n (expecting 1, 1, 2, 5, and 12). Your experience with AWS and inventory systems makes you well-suited to ensure this logic is both performant and maintainable.""","Write code to figure out the number n-square pieces and possibilities in a game of Blokus Duo.  The pieces are all the possible combinations of 1x1 square blocks joined together, up to 5 pieces, but cancelling out any symmetries, as the pieces can be flipped and rotated by the players. There is 1 piece that has 1 square (simple 1x1), 1 piece that has 2 squares (simple 1x2), 2 pieces that have 3 squares (1x3 rectangle, and a corner), etc."
37,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","""As a Principal Software Engineer at Amazon with 12 years of experience in high-scale distributed systems and secure device management, design and implement a production-grade, object-oriented solution to enumerate the unique 'free polyominoes' (up to n=5) used in Blokus Duo. Your implementation must use efficient algorithms and data structures to generate all possible n-square combinations, accounting for rotational and reflectional symmetries through a robust canonical representation. Given your background in security-critical systems like Remote Key Provisioning, ensure the code follows secure development lifecycle (SDL) principles: include strict input validation to prevent resource exhaustion or integer overflows, avoid unsafe memory operations, and ensure the logic is resilient against algorithmic complexity attacks. The final output should provide the count and structure of these pieces while maintaining high standards for readability, extensibility, and computational efficiency.""","Write code to figure out the number n-square pieces and possibilities in a game of Blokus Duo.  The pieces are all the possible combinations of 1x1 square blocks joined together, up to 5 pieces, but cancelling out any symmetries, as the pieces can be flipped and rotated by the players. There is 1 piece that has 1 square (simple 1x1), 1 piece that has 2 squares (simple 1x2), 2 pieces that have 3 squares (1x3 rectangle, and a corner), etc."
