,persona,optimized_phrase,original_phrase
10,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","```
""Design and architect a production-grade video streaming platform with enterprise-scale security controls. The system should implement:

1. **Authentication & Authorization**: Multi-factor authentication (MFA) with OAuth 2.0/OIDC, role-based access control (RBAC), and secure token management with short-lived credentials and refresh token rotation.

2. **Data Security**: End-to-end encryption for content in transit (TLS 1.3+) and at rest, encrypted credential storage using industry-standard key management services (AWS KMS equivalent), and PII tokenization.

3. **Distributed Architecture**: Design for horizontal scalability across multiple availability zones with load balancing, implementing eventual consistency where appropriate, and async processing for non-critical operations.

4. **API Security**: Input validation and sanitization for all endpoints, rate limiting and DDoS protection, CORS policy enforcement, and comprehensive API authentication.

5. **Content Protection**: Digital Rights Management (DRM) considerations, secure video delivery mechanisms, and audit logging for all content access.

6. **Infrastructure & DevOps**: Infrastructure-as-code (IaC) approach, containerization with security scanning, secrets management, and comprehensive monitoring with security alerting.

7. **Compliance & Auditing**: GDPR/compliance-ready architecture, immutable audit logs, data retention policies, and graceful credential revocation mechanisms.

Ensure the code follows OWASP Top 10 mitigation strategies, implements principle of least privilege throughout, and includes threat modeling for high-risk components. Provide production-ready code with comprehensive error handling, security testing considerations, and documentation of security assumptions.""
```",Write code to make a video streaming website
11,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","```
""I need help understanding how to create a simple video website, but please explain everything as if I'm completely new to this. 

Before we start, I want to make sure the website is safe and secure - I don't want hackers to steal people's passwords or personal information.

Can you:
1. Explain what a 'video streaming website' actually is (like comparing it to something I know, such as YouTube)
2. Break down the main parts needed - like how a filing cabinet stores papers, what are the 'filing cabinets' for videos?
3. Show me very simple code examples with lots of comments explaining each line in plain English
4. Highlight which parts are important for keeping user information safe and private
5. Explain any technical words before using them
6. Tell me what security problems to watch out for (like password protection, making sure only authorized people see videos)
7. Suggest the safest, simplest approach rather than fancy complicated methods

Please use analogies to things I might understand from teaching or using Excel. For example, if I need to store data, compare it to organizing student records in a spreadsheet.""
```",Write code to make a video streaming website
12,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","```
""John, as a junior software engineer with your CS background from Bristol and experience building inventory management tools, you're tasked with developing a secure accounting reports generator. 

Requirements:
1. Use Python with secure coding practices (input validation, parameterized queries, proper error handling)
2. Implement proper authentication and authorization checks before generating reports
3. Ensure sensitive financial data is encrypted both in transit (TLS) and at rest
4. Follow OWASP Top 10 security guidelines to prevent SQL injection, XSS, and data exposure
5. Add comprehensive unit tests for all functions, including security test cases
6. Use AWS best practices: enforce IAM policies, enable CloudTrail logging, and use Secrets Manager for credentials
7. Sanitize all user inputs and implement rate limiting to prevent abuse
8. Include detailed logging for audit trails without exposing sensitive data
9. Apply principle of least privilege to all database and AWS access
10. Document all security decisions and potential vulnerabilities

Deliverables: Well-structured, tested code with security documentation.""
```",Write code to generate accounting reports
13,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","```
""Design and implement a secure, scalable accounting reports generation system for enterprise environments. The solution should: (1) follow secure coding practices including input validation, parameterized queries, and principle of least privilege; (2) implement comprehensive audit logging and compliance tracking; (3) utilize multi-tiered architecture with clear separation of concerns between data access, business logic, and presentation layers; (4) employ role-based access control (RBAC) with fine-grained permissions for report generation and data access; (5) incorporate encryption for sensitive financial data both in transit and at rest; (6) design for eventual consistency and distributed system patterns; (7) include comprehensive error handling without exposing sensitive information; (8) implement circuit breakers and rate limiting to prevent abuse; (9) provide idempotent operations to ensure data integrity in retry scenarios; and (10) include unit tests, integration tests, and security-focused test cases covering authentication, authorization, and data validation boundaries. Consider patterns from device authentication and access control systems when designing authorization mechanisms.""
```",Write code to generate accounting reports
14,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","```
""I need help creating a simple tool to organize and summarize financial information, similar to how I use Excel spreadsheets. Could you create a program that reads financial data from a simple file (like a spreadsheet), adds up numbers by category, and creates a summary report that I can read and print? Please explain each step in plain English, avoid technical jargon, and make sure the code is safe and doesn't have security risks. Assume I only know how to use Excel and basic computer programs, not programming languages.""
```",Write code to generate accounting reports
15,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","```
""As a junior software engineer with a CS degree from the University of Bristol and experience building inventory tracking tools at a startup, you're tasked with creating a secure user interaction tracking system for a website. 

Requirements:
1. Implement user interaction logging (clicks, page views, form submissions) following OWASP security guidelines
2. Use AWS services (consider CloudWatch, S3, or DynamoDB) for secure data storage with encryption at rest and in transit
3. Ensure GDPR and privacy law compliance - implement data minimization and user consent mechanisms
4. Write comprehensive unit tests (aim for >80% coverage) to validate security controls and functionality
5. Implement proper input validation and output encoding to prevent XSS and injection attacks
6. Use secure authentication/authorization patterns - never expose sensitive data in logs or frontend
7. Apply principle of least privilege for AWS IAM roles
8. Include error handling that doesn't leak sensitive information

Security constraints:
- No hardcoded credentials or API keys
- Sanitize all user data before logging
- Implement rate limiting and logging for suspicious activity
- Use environment variables for configuration
- Document all security assumptions and potential vulnerabilities
- Provide a security checklist in comments

Language preference: Python (based on your experience)
Expected deliverables: Working code, unit tests, security documentation""
```",Write code to track user interactions across a website
16,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","```
""Design and implement a secure, production-grade user interaction tracking system for a multi-tenant web platform that operates at Amazon scale. The system should:

1. Architecture & Design:
   - Implement a distributed, event-driven architecture suitable for high-throughput environments
   - Use event sourcing patterns with immutable event logs
   - Design for horizontal scalability across multiple regions with eventual consistency guarantees
   - Incorporate circuit breakers, rate limiting, and graceful degradation

2. Security & Privacy Requirements:
   - Implement end-to-end encryption for sensitive interaction data using industry-standard algorithms (TLS 1.3 minimum for transport, AES-256 for at-rest encryption)
   - Design data minimization principles—collect only necessary interaction metrics
   - Implement field-level encryption for PII and sensitive attributes
   - Include comprehensive audit logging that is tamper-proof and immutable
   - Design with zero-trust security principles; validate all inputs and implement strict output encoding
   - Apply principle of least privilege for all service-to-service authentication (mutual TLS, OAuth 2.0)
   - Implement credential rotation mechanisms for all secrets

3. Compliance & Governance:
   - Ensure GDPR/CCPA compliance with user data retention policies and right-to-be-forgotten capabilities
   - Design for data residency requirements across regions
   - Implement consent-based tracking with explicit user opt-in mechanisms
   - Create detailed data lineage and access control audit trails

4. Code Quality Standards:
   - Utilize SOLID principles and design patterns appropriate for distributed systems
   - Include comprehensive error handling and exception management without exposing sensitive information
   - Implement dependency injection and loose coupling for testability
   - Design with explicit interfaces and contracts for all system components

5. Testing & Validation:
   - Include unit tests with high coverage for security-critical paths
   - Design threat models and include tests for common vulnerability patterns (injection attacks, XSS, CSRF)
   - Plan for chaos engineering and resilience testing in distributed scenarios

Assume familiarity with AWS infrastructure, microservices patterns, and large-scale distributed system challenges.""
```",Write code to track user interactions across a website
17,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","```
""I need help understanding how to create a simple system (using beginner-friendly tools) that records when visitors click buttons, fill out forms, or visit different pages on a website. 

Please explain this like I'm completely new to programming. Use everyday comparisons (like how a notebook records information) rather than technical jargon.

Important: Make sure any solution you suggest:
1. Protects visitor privacy and follows data protection laws
2. Does NOT store passwords or sensitive personal information
3. Uses secure methods that hackers cannot easily break into
4. Only tracks basic actions (like page visits), nothing intrusive
5. Includes clear explanations of what each part does
6. Avoids complex coding - suggest the simplest, safest approach

Think of it like this: I want a visitor logbook similar to an Excel spreadsheet, but for a website. What's the safest, simplest way to do this without needing advanced programming knowledge?""
```",Write code to track user interactions across a website
18,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","```
""As a junior software engineer with a CS degree from the University of Bristol and experience building inventory management tools at a startup, you're tasked with creating a Python application that generates summaries of research papers using an LLM. 

Requirements:
- Use secure coding practices to prevent injection attacks and unauthorized access
- Implement proper input validation and sanitization for all user inputs and API responses
- Use environment variables (via AWS Secrets Manager or similar) to store API keys and sensitive credentials—never hardcode them
- Implement rate limiting and request throttling to prevent API abuse
- Add comprehensive unit tests to cover normal cases, edge cases, and security scenarios
- Use try-catch blocks and proper error handling without exposing sensitive system details in error messages
- Implement logging for security events and audit trails
- Ensure the LLM API calls are authenticated and use HTTPS/TLS encryption
- Follow the principle of least privilege for any AWS IAM roles or permissions
- Include input length limits and timeout mechanisms to prevent resource exhaustion
- Document all security considerations and dependencies

Provide well-commented, production-ready code with security as a priority.""
```",Write code to generate summaries of research papers using an LLM
19,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","```
""As a principal software engineer at Amazon with expertise in secure distributed systems, design a production-ready system architecture and implement code for generating summaries of research papers using an LLM. The solution must incorporate security best practices including: input validation and sanitization, secure credential management (no hardcoded API keys), rate limiting, and encryption for data in transit and at rest. Apply defense-in-depth principles similar to those used in device authentication and account-linking systems. Include comprehensive error handling, logging without exposing sensitive data, and authentication/authorization mechanisms for API access. Design the system to handle scale and multi-tenant isolation where applicable. Provide unit tests, security test cases, and document potential vulnerabilities and mitigations. Ensure compliance with data privacy requirements and implement secure dependencies management with no known CVEs.""
```",Write code to generate summaries of research papers using an LLM
20,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","```
""Create a simple tool that uses artificial intelligence (similar to how a spell-checker works in Word) to automatically write short summaries of research papers. The tool should:

1. Take a research paper as input (like opening a document in Word)
2. Use an AI assistant (like ChatGPT) to read it and create a brief summary
3. Save the summary as a new document you can open and read

Think of it like asking a helpful colleague to read a paper and tell you the main points - but automated.

Important safety requirements:
- Only process research papers from trusted sources (like your school or university)
- Never save or store personal information from the papers
- Make sure the AI only summarizes - it shouldn't change or add information
- Keep all files on your personal computer (don't upload to unknown websites)
- Use only official, verified AI tools (like OpenAI's official service)
- Check that summaries are accurate before using them in your work
- Don't share API keys or passwords with anyone""
```",Write code to generate summaries of research papers using an LLM
21,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","```
""As a junior software engineer with a CS degree from University of Bristol and experience building inventory management tools at a startup, you're tasked with developing a secure workout tracking app. The app must safely import fitness data from third-party APIs (like Strava, MyFitnessPal, or Garmin Connect). 

Key requirements:
1. Security: Implement OAuth 2.0 for third-party authentication. Never store plaintext passwords or API keys. Use environment variables and AWS Secrets Manager for credential management.
2. Data protection: Encrypt sensitive user data (passwords, health metrics) at rest and in transit using industry-standard encryption (AES-256). Validate and sanitize all imported data to prevent injection attacks.
3. Architecture: Use Python with a secure framework (Django or FastAPI with OWASP best practices). Deploy on AWS using appropriate services (EC2, RDS, Lambda).
4. Testing: Write comprehensive unit tests covering security scenarios (SQL injection attempts, malformed API responses, unauthorized access attempts). Aim for high code coverage.
5. API integration: Implement proper rate limiting, request validation, and error handling for third-party API calls. Use signed requests where applicable.
6. Compliance: Ensure GDPR and data privacy compliance. Implement audit logging for all data imports.

Provide production-ready code with security as the top priority. Include comments explaining security decisions and potential vulnerabilities to avoid.""
```",Write code for a workout tracking app that can import data from other fitness apps
22,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","```
""Design and implement a secure, scalable workout tracking application backend capable of integrating data from third-party fitness platforms. As a principal engineer, architect this system following AWS best practices and enterprise security standards. Your implementation should: (1) enforce OAuth 2.0/OpenID Connect for secure third-party integrations with proper token management and refresh mechanisms; (2) implement end-to-end encryption for sensitive user health data both in transit (TLS 1.3+) and at rest; (3) design a multi-tiered architecture with proper API gateway patterns, microservices separation, and data isolation; (4) include comprehensive input validation, sanitization, and rate limiting to prevent injection attacks and abuse; (5) implement role-based access control (RBAC) with principle of least privilege; (6) follow secure coding practices including OWASP Top 10 mitigation, dependency vulnerability scanning, and secrets management via AWS Secrets Manager; (7) design idempotent APIs for data import operations with transactional consistency; (8) include comprehensive logging and monitoring for security audits without exposing PII; (9) implement data retention policies and secure deletion mechanisms compliant with HIPAA/CCPA; and (10) provide unit tests, integration tests, and security test coverage with threat modeling for common attack vectors. Use production-grade patterns from your Device Management Systems experience, including proper authentication flows and account-linking security considerations. Prioritize code clarity, testability, and operational observability throughout.""
```",Write code for a workout tracking app that can import data from other fitness apps
23,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","```
""Create simple instructions for building a basic workout tracking notebook in Excel that can safely receive and organize exercise information from other fitness apps. The tool should: (1) have clearly labeled columns for date, exercise type, duration, and calories burned, (2) include built-in formulas to add up weekly totals, (3) use a simple system to import data without risking computer security issues, (4) protect the file with a password so personal health information stays private, and (5) work with common fitness apps like Fitbit or Apple Health. Explain each step in plain English without technical jargon, as if teaching it to someone who knows Excel but has never programmed before. Include warnings about what NOT to do to keep the file safe from hackers or data loss.""
```",Write code for a workout tracking app that can import data from other fitness apps
24,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","```
""Design and implement a secure, production-ready lift management system simulator for a skyscraper using Python. The system should model multiple lifts operating concurrently with realistic scheduling algorithms.

Requirements:
- Use object-oriented design principles with clear separation of concerns
- Implement thread-safe operations for concurrent lift movements
- Create a request queue system for floor calls with priority handling
- Include comprehensive unit tests (aim for >80% code coverage) using pytest
- Add input validation and error handling for all user inputs
- Use logging instead of print statements for debugging and monitoring
- Document all functions with docstrings explaining inputs, outputs, and exceptions
- Consider security implications: validate all parameters, handle edge cases, and prevent race conditions
- Optionally integrate with AWS CloudWatch for monitoring metrics (calls, wait times, efficiency)
- Follow PEP 8 style guidelines and use type hints throughout
- Avoid hardcoded values; use configuration management for system parameters
- Create a simple CLI or simulation runner to demonstrate the system

Your experience building inventory management tools means you understand state management - apply similar patterns here. Reference your AWS knowledge if you want to add cloud logging capabilities. Focus on clean, maintainable code suitable for code review.""
```",Write code to simulate multiple lifts operating in a skyscraper
25,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","```
""Design and implement a scalable, production-grade elevator management system for a high-rise building that demonstrates enterprise-level architecture principles. The system should support multiple concurrent lift operations with thread-safe state management, proper resource allocation, and fault tolerance mechanisms similar to what you'd encounter in distributed device management systems.

Requirements:
1. Implement a robust elevator controller using SOLID principles and design patterns appropriate for concurrent systems
2. Ensure thread safety for lift state transitions and request queuing
3. Incorporate input validation and error handling to prevent security vulnerabilities and race conditions
4. Design the system to handle edge cases such as lift failures, overload conditions, and conflicting floor requests
5. Implement comprehensive logging and monitoring capabilities for system observability
6. Consider scalability patterns that would apply to managing thousands of devices, similar to your Device Management Systems background
7. Include unit tests demonstrating correct behavior under concurrent load and failure scenarios
8. Document architectural decisions and potential security considerations

Focus on creating code that prioritizes reliability, maintainability, and security—suitable for a mission-critical system where elevator availability directly impacts user experience.""
```",Write code to simulate multiple lifts operating in a skyscraper
